id,price
8795,7509256.451322194
6516,8615629.903819665
4714,5248091.090707584
8423,7600472.043563664
5361,7535798.8180005485
2681,7625295.237551834
8742,8280940.808998316
4685,16852862.28682632
295,17125255.82516217
6628,5574256.475516219
10103,13944305.260419784
8347,6200748.7632722305
7266,6035604.281244189
10527,5744154.420779156
8352,9770550.709302934
3263,8452745.650789764
5230,9035987.41467137
5546,8385752.150831605
3179,8253840.041903249
9972,4781204.059910146
8992,8280459.524307099
8037,15287659.940871282
7822,5325705.100041111
8447,7569876.714552096
10406,12720163.950286102
111,8482319.300586242
4267,7190832.234531438
7447,10888562.801887741
12086,7748100.392721001
6926,6576770.3931175275
2927,11785921.976837814
9977,15239756.740408577
1942,9770871.616766952
10727,8762141.832729643
5041,13994467.93799518
648,7899766.374672208
6809,6238465.54614409
5973,9466653.798209824
7571,5896658.058811133
313,10816054.208350345
7412,12111950.616229735
5662,6823176.185640039
11591,7157129.729557757
8910,5922908.317809012
3801,8696824.100997346
2064,5728135.81811712
1916,13101715.844495563
4698,6384322.705748043
9439,6870777.556332275
10306,9821759.821202459
5383,9172427.343065003
5760,9393678.705464032
413,6342828.745924646
6822,4228857.763190773
8747,6664795.916536593
130,14385580.231954252
2001,10351212.427740227
7962,4342064.969309117
9933,7595096.355130858
11683,6802733.147304287
9418,8713623.841750776
5311,19239965.976034336
8585,14663311.223013835
8297,15212638.933761299
9321,6400037.473847434
11782,5461004.074750245
1474,9051440.441068735
8642,6063507.229837149
3014,13674668.64777146
10676,8628869.323799081
5263,5092633.859261263
8669,10109825.048309611
4256,12548660.42866117
8880,11107152.11025427
9047,17139714.92080676
9502,11090300.407821693
3825,7614705.833122402
3096,9215605.114192748
1868,6755144.177444115
3299,12207098.451693024
4320,8785767.534957819
3352,7837783.917745991
11845,4341249.4875625335
11009,8850416.896451302
106,8596703.748267189
10267,5568882.049510207
7179,16571428.349100703
10770,8093731.958916662
4133,13535661.065503344
2421,7523894.281095961
7592,14467972.160054341
6873,4635551.799492045
12035,9240917.654083831
11141,10172060.488597745
12197,15251203.180618666
4393,8586411.816783356
11428,7715139.0221119225
12193,12054178.68281203
10649,7672186.924814223
7512,6405010.261846191
4060,6595354.560995385
10408,10559860.103636095
7525,8132181.849496477
11810,8449702.378768299
7,8986692.75915886
10235,10408769.782668052
6975,9032361.630292937
5276,7892783.27908833
7923,5884675.588990297
5686,12326701.29084185
5914,5937034.249572525
7566,11169517.502172524
9438,17160308.08490747
531,7844859.525014544
8070,13011049.421433877
7271,6430520.852823112
664,7010637.732336125
9979,7981013.113271832
5852,12366183.42041512
5129,10587916.86538809
1077,7575055.6999147395
7993,11512521.065973673
8783,17489049.726110525
5691,7563708.482046454
9164,5620601.854065741
7218,7349284.201797274
1065,16434953.066605305
7772,8206233.870050698
4735,12666730.867131617
3169,16318955.45931036
9654,7641904.067075027
4326,11337329.47565837
8410,7242304.870919835
10222,8984741.679978104
1471,19616204.16967003
11829,5912111.395119006
12098,19426999.821744833
9444,8598652.533006677
6198,7559766.424752841
5547,16579203.845829647
3343,10153741.31312497
12026,12552114.075975155
10010,15954432.218646279
8780,5369634.213978471
1470,8152610.24479668
1562,7271787.930816458
8562,10116143.62635977
3457,7108485.643776709
6556,8726921.730455598
2030,8037031.562281097
6068,11708326.73075378
1613,18913204.862671964
7115,7955346.25158498
10650,8416946.444608623
9378,7144211.435092695
2238,7002983.967870267
2231,12860509.316681525
2547,11209842.697791863
3363,14947103.385531858
11609,6303158.87502291
6189,19123948.21094349
8470,16719283.191437304
4471,11753417.91433756
3486,9480439.557239449
11329,17556142.743866008
2925,5472414.14281877
12116,6040263.162689198
11149,10002636.615482563
11711,10625750.165928494
7172,9620614.806247223
10058,8607384.524167929
3164,7584916.561416349
8596,8910798.669816038
2180,9593240.03460149
3792,4375635.9900649
5456,8851616.19738194
4442,7802337.147847329
6965,7469850.386105673
4334,17308144.801867954
2117,10625741.04150183
8139,6322865.4312589
8199,5672454.899402771
8119,6220371.902066515
